Tax Year,Municipality,Number of Returns,CT Income Tax,Tax Per Capita
2015,AVON,8361,85485184.00,10224.00
2015,BARKHAMSTED,1793,5961156.00,3325.00
2015,BEACON FALLS,2820,8329033.00,2954.00
2015,BERLIN,10021,38842493.00,3876.00
2015,BETHANY,2397,13537388.00,5648.00
2015,BETHEL,8657,26778122.00,3093.00
2015,BETHLEHEM,1648,5575338.00,3383.00
2015,BLOOMFIELD,10750,35172834.00,3272.00
2015,BOLTON,2351,10301795.00,4382.00
2015,BOZRAH,1194,3455854.00,2894.00
2015,BRANFORD,14144,58571911.00,4141.00
2015,BRIDGEPORT,59246,59200924.00,999.00
2015,BRIDGEWATER,783,5616521.00,7173.00
2015,BRISTOL,28518,64129600.00,2249.00
2015,BROOKFIELD,7896,32729473.00,4145.00
2015,BROOKLYN,3350,7924397.00,2365.00
2015,BURLINGTON,4224,24348800.00,5764.00
2015,CANAAN,1732,3468291.00,2002.00
2015,CANTERBURY,2287,5237828.00,2290.00
2015,CANTON,4629,26369747.00,5697.00
2015,CHAPLIN,983,2158328.00,2196.00
2015,CHESHIRE,12241,67954800.00,5551.00
2015,CHESTER,1855,7575384.00,4084.00
2015,CLINTON,6241,23900204.00,3830.00
2015,COLCHESTER,7449,26116776.00,3506.00
2015,COLEBROOK,498,1554511.00,3122.00
2015,COLUMBIA,2613,9267192.00,3547.00
2015,CORNWALL,736,2773654.00,3769.00
2015,COVENTRY,5812,19654251.00,3382.00
2015,CROMWELL,7020,28735102.00,4093.00
2015,DANBURY,35981,71453560.00,1986.00
2015,DARIEN,8261,199806652.00,24187.00
2015,DEEP RIVER,2209,13547950.00,6133.00
2015,DERBY,5896,11448191.00,1942.00
2015,DURHAM,3365,20531535.00,6101.00
2015,EASTFORD ,682,1814291.00,2660.00
2015,EAST GRANBY ,2472,9896488.00,4003.00
2015,EAST HADDAM ,3797,15305704.00,4031.00
2015,EAST HAMPTON ,6056,22418555.00,3702.00
2015,EAST HARTFORD ,24317,34986675.00,1439.00
2015,EAST HAVEN ,13385,30634133.00,2289.00
2015,EAST LYME ,8302,34687768.00,4178.00
2015,EASTON ,3158,31800534.00,10070.00
2015,EAST WINDSOR ,5510,13136116.00,2384.00
2015,ELLINGTON,7509,31746750.00,4228.00
2015,ENFIELD,19695,40634279.00,2063.00
2015,ESSEX,3219,23507026.00,7303.00
2015,FAIRFIELD,24037,200871026.00,8357.00
2015,FARMINGTON,12017,81299784.00,6765.00
2015,FRANKLIN,911,2617736.00,2873.00
2015,GLASTONBURY,15681,112636562.00,7183.00
2015,GOSHEN,1320,6329607.00,4795.00
2015,GRANBY,4976,26255555.00,5276.00
2015,GREENWICH,26471,650278422.00,24566.00
2015,GRISWOLD,5533,11169441.00,2019.00
2015,GROTON,11373,25656481.00,2256.00
2015,GUILFORD,9999,67013872.00,6702.00
2015,HADDAM,3848,17147150.00,4456.00
2015,HAMDEN,25207,75967233.00,3014.00
2015,HAMPTON,1093,2857793.00,2615.00
2015,HARTFORD,48890,51036073.00,1044.00
2015,HARTLAND,816,2671321.00,3274.00
2015,HARWINTON,2488,9840202.00,3955.00
2015,HEBRON,4173,19324454.00,4631.00
2015,KENT,1294,5041993.00,3896.00
2015,KILLINGLY,7741,12277839.00,1586.00
2015,KILLINGWORTH,2813,14962345.00,5319.00
2015,LEBANON,3235,9555307.00,2954.00
2015,LEDYARD,6684,18966430.00,2838.00
2015,LISBON,1671,4410340.00,2639.00
2015,LITCHFIELD,3831,19492047.00,5088.00
2015,LYME,926,9442865.00,10197.00
2015,MADISON,7963,61856832.00,7768.00
2015,MANCHESTER,28179,72050315.00,2557.00
2015,MANSFIELD,5415,23070524.00,4260.00
2015,MARLBOROUGH,2822,14070154.00,4986.00
2015,MERIDEN,27235,50407193.00,1851.00
2015,MIDDLEBURY,3339,21424082.00,6416.00
2015,MIDDLEFIELD,2040,7956353.00,3900.00
2015,MIDDLETOWN,20942,56008120.00,2674.00
2015,MILFORD,25635,118052967.00,4605.00
2015,MONROE,8743,42105708.00,4816.00
2015,MONTVILLE,8319,18585054.00,2234.00
2015,MORRIS,1035,4091300.00,3953.00
2015,NAUGATUCK,14380,29765161.00,2070.00
2015,NEW BRITAIN,31104,36624164.00,1177.00
2015,NEW CANAAN,7962,218726307.00,27471.00
2015,NEW FAIRFIELD,6097,20625961.00,3383.00
2015,NEW HARTFORD,3262,13084321.00,4011.00
2015,NEW HAVEN,48740,89753561.00,1841.00
2015,NEWINGTON ,15274,42278963.00,2768.00
2015,NEW LONDON ,11150,14208131.00,1274.00
2015,NEW MILFORD ,12813,37417012.00,2920.00
2015,NEWTOWN,11621,68645347.00,5907.00
2015,NORFOLK,709,3138751.00,4427.00
2015,NORTH BRANFORD,6867,23407377.00,3409.00
2015,NORTH CANAAN,361,633889.00,1756.00
2015,NORTH HAVEN,11596,44591181.00,3845.00
2015,NORTH STONINGTON,2360,7529450.00,3190.00
2015,NORWALK,41452,149474657.00,3606.00
2015,NORWICH,17587,26506224.00,1507.00
2015,OLD LYME,3645,24035235.00,6594.00
2015,OLD SAYBROOK,4985,23230008.00,4660.00
2015,ORANGE,6502,36027567.00,5541.00
2015,OXFORD,5679,23723023.00,4177.00
2015,PLAINFIELD,6411,10209696.00,1593.00
2015,PLAINVILLE,8721,20660199.00,2369.00
2015,PLYMOUTH,5684,13641566.00,2400.00
2015,POMFRET,1840,6215955.00,3378.00
2015,PORTLAND,4474,17743342.00,3966.00
2015,PRESTON,2110,5543357.00,2627.00
2015,PROSPECT,4465,16267046.00,3643.00
2015,PUTNAM,4010,5867695.00,1463.00
2015,REDDING,3873,38950565.00,10057.00
2015,RIDGEFIELD,10107,112915138.00,11172.00
2015,ROCKY HILL,9653,35811046.00,3710.00
2015,ROXBURY,985,8520971.00,8651.00
2015,SALEM,1877,8167548.00,4351.00
2015,SALISBURY,1618,7457918.00,4609.00
2015,SCOTLAND,332,790791.00,2382.00
2015,SEYMOUR,7777,21948975.00,2822.00
2015,SHARON,1006,9465210.00,9409.00
2015,SHELTON,19144,67798866.00,3542.00
2015,SHERMAN,1601,7818459.00,4883.00
2015,SIMSBURY,10588,81431034.00,7691.00
2015,SOMERS,4328,16559782.00,3826.00
2015,SOUTHBURY ,8890,39433542.00,4436.00
2015,SOUTHINGTON ,20307,74171095.00,3652.00
2015,SOUTH WINDSOR ,12133,53373812.00,4399.00
2015,SPRAGUE,1499,3072378.00,2050.00
2015,STAFFORD,5446,11948350.00,2194.00
2015,STAMFORD,60309,264165119.00,4380.00
2015,STERLING,1438,2489927.00,1732.00
2015,STONINGTON,12536,51729104.00,4126.00
2015,STRATFORD,24976,63238824.00,2532.00
2015,SUFFIELD,6257,27804293.00,4444.00
2015,THOMASTON,3669,9380075.00,2557.00
2015,THOMPSON,4188,5530218.00,1320.00
2015,TOLLAND,6616,31849219.00,4814.00
2015,TORRINGTON,16049,30244437.00,1885.00
2015,TRUMBULL,15631,80399259.00,5144.00
2015,UNION,274,854325.00,3118.00
2015,VERNON,14373,34786609.00,2420.00
2015,VOLUNTOWN,1195,2518580.00,2108.00
2015,WALLINGFORD,21600,70425658.00,3260.00
2015,WARREN,413,1856528.00,4495.00
2015,WASHINGTON,1799,12475157.00,6934.00
2015,WATERBURY,45988,54307818.00,1181.00
2015,WATERFORD,9485,30581837.00,3224.00
2015,WATERTOWN,10415,32521757.00,3123.00
2015,WESTBROOK ,3206,12607135.00,3932.00
2015,WEST HARTFORD ,28342,174278984.00,6149.00
2015,WEST HAVEN ,24306,41420527.00,1704.00
2015,WESTON,4005,66758635.00,16669.00
2015,WESTPORT,11464,218488472.00,19059.00
2015,WETHERSFIELD,13025,45085227.00,3461.00
2015,WILLINGTON,2646,8084864.00,3056.00
2015,WILTON,7374,104403853.00,14158.00
2015,WINCHESTER,4944,9737322.00,1970.00
2015,WINDHAM,9418,12590643.00,1337.00
2015,WINDSOR,14572,38891913.00,2669.00
2015,WINDSOR LOCKS,6396,13589930.00,2125.00
2015,WOLCOTT,7673,22458690.00,2927.00
2015,WOODBRIDGE,4017,44178917.00,10998.00
2015,WOODBURY,4640,22679944.00,4888.00
2015,WOODSTOCK,3581,10673207.00,2981.00
2014,WOODSTOCK,3543,9794381.00,2764.00
2014,ANDOVER,1495,5319220.00,3558.00
2014,ANSONIA,8447,14032985.00,1661.00
2014,ASHFORD,2056,5458707.00,2655.00
2014,AVON,8350,78664629.00,9421.00
2014,BARKHAMSTED,1765,5544279.00,3141.00
2014,BEACON FALLS,2827,7770931.00,2749.00
2014,BERLIN,9997,36580567.00,3659.00
2014,BETHANY,2415,13232597.00,5479.00
2014,BETHEL,8554,25152444.00,2940.00
2014,BETHLEHEM,1675,5549479.00,3313.00
2014,BLOOMFIELD,10639,34072681.00,3203.00
2014,BOLTON,2339,9863474.00,4217.00
2014,BOZRAH,1192,3393791.00,2847.00
2014,BRANFORD,14073,55936384.00,3975.00
2014,BRIDGEPORT,58401,56416179.00,966.00
2014,BRIDGEWATER,765,4979155.00,6509.00
2014,BRISTOL,28030,61315014.00,2187.00
2014,BROOKFIELD,7793,31610830.00,4056.00
2014,BROOKLYN,3352,7713738.00,2301.00
2014,BURLINGTON,4239,22031703.00,5197.00
2014,CANAAN,1733,3263775.00,1883.00
2014,CANTERBURY,2312,5024854.00,2173.00
2014,CANTON,4521,24992518.00,5528.00
2014,CHAPLIN,967,2107788.00,2180.00
2014,CHESHIRE,12210,65146826.00,5336.00
2014,CHESTER,1827,7587065.00,4153.00
2014,CLINTON,6189,22247531.00,3595.00
2014,COLCHESTER,7314,24546856.00,3356.00
2014,COLEBROOK,338,1197311.00,3542.00
2014,COLUMBIA,2575,8768360.00,3405.00
2014,CORNWALL,752,3306771.00,4397.00
2014,COVENTRY,5670,18253339.00,3219.00
2014,CROMWELL,6921,27021855.00,3904.00
2014,DANBURY,35481,68757943.00,1938.00
2014,DARIEN,8306,192335456.00,23156.00
2014,DEEP RIVER,2169,9210127.00,4246.00
2014,DERBY,5704,11076210.00,1942.00
2014,DURHAM,3322,18688185.00,5626.00
2014,EASTFORD ,697,1782931.00,2558.00
2014,EAST GRANBY ,2521,9662857.00,3833.00
2014,EAST HADDAM ,3693,14861520.00,4024.00
2014,EAST HAMPTON ,5989,22508920.00,3758.00
2014,EAST HARTFORD ,24031,33383923.00,1389.00
2014,EAST HAVEN ,13219,28427517.00,2151.00
2014,EAST LYME ,8153,34744312.00,4262.00
2014,EASTON ,3183,33122221.00,10406.00
2014,EAST WINDSOR ,5433,12931298.00,2380.00
2014,ELLINGTON,7443,30260989.00,4066.00
2014,ENFIELD,19468,39359880.00,2022.00
2014,ESSEX,3147,20745589.00,6592.00
2014,FAIRFIELD,24004,201169692.00,8381.00
2014,FARMINGTON,11964,80523931.00,6731.00
2014,FRANKLIN,907,2627419.00,2897.00
2014,GLASTONBURY,15557,113769961.00,7313.00
2014,GOSHEN,1345,6918587.00,5144.00
2014,GRANBY,4969,24853187.00,5002.00
2014,GREENWICH,26622,721738052.00,27111.00
2014,GRISWOLD,5453,10500047.00,1926.00
2014,GROTON,11213,24896100.00,2220.00
2014,GUILFORD,9894,68733877.00,6947.00
2014,HADDAM,3838,15819427.00,4122.00
2014,HAMDEN,24998,74673173.00,2987.00
2014,HAMPTON,1053,3177741.00,3018.00
2014,HARTFORD,47872,46056856.00,962.00
2014,HARTLAND,810,2481032.00,3063.00
2014,HARWINTON,2485,9198275.00,3702.00
2014,HEBRON,4140,18915451.00,4569.00
2014,KENT,1277,4538790.00,3554.00
2014,KILLINGLY,7598,10966064.00,1443.00
2014,KILLINGWORTH,2811,14089735.00,5012.00
2014,LEBANON,3179,9203903.00,2895.00
2014,LEDYARD,6586,19083365.00,2898.00
2014,LISBON,1631,4222804.00,2589.00
2014,LITCHFIELD,3790,16908817.00,4461.00
2014,LYME,938,7031942.00,7497.00
2014,MADISON,7984,59997858.00,7515.00
2014,MANCHESTER,27961,65318457.00,2336.00
2014,MANSFIELD,5449,18397930.00,3376.00
2014,MARLBOROUGH,2844,13472373.00,4737.00
2014,MERIDEN,26881,50209704.00,1868.00
2014,MIDDLEBURY,3383,21039290.00,6219.00
2014,MIDDLEFIELD,2036,7590031.00,3728.00
2014,MIDDLETOWN,20737,54077052.00,2608.00
2014,MILFORD,25595,116711928.00,4560.00
2014,MONROE,8693,42543886.00,4894.00
2014,MONTVILLE,8204,18402686.00,2243.00
2014,MORRIS,1030,3749415.00,3640.00
2014,NAUGATUCK,14239,28842958.00,2026.00
2014,NEW BRITAIN,30428,35738362.00,1175.00
2014,NEW CANAAN,8103,217193006.00,26804.00
2014,NEW FAIRFIELD,6047,20119096.00,3327.00
2014,NEW HARTFORD,3186,12623531.00,3962.00
2014,NEW HAVEN,48156,81878330.00,1700.00
2014,NEWINGTON ,15232,40609285.00,2666.00
2014,NEW LONDON ,10795,13951484.00,1292.00
2014,NEW MILFORD ,12687,35246772.00,2778.00
2014,NEWTOWN,11446,69534772.00,6075.00
2014,NORFOLK,725,2479732.00,3420.00
2014,NORTH BRANFORD,6750,24740444.00,3665.00
2014,NORTH CANAAN,365,636360.00,1743.00
2014,NORTH HAVEN,11563,42335472.00,3661.00
2014,NORTH STONINGTON,2359,7270469.00,3082.00
2014,NORWALK,40771,149373852.00,3664.00
2014,NORWICH,17253,26209636.00,1519.00
2014,OLD LYME,3645,25448999.00,6982.00
2014,OLD SAYBROOK,4963,23063481.00,4647.00
2014,ORANGE,6466,37021167.00,5726.00
2014,OXFORD,5578,22929091.00,4111.00
2014,PLAINFIELD,6409,10094496.00,1575.00
2014,PLAINVILLE,8601,19417770.00,2258.00
2014,PLYMOUTH,5663,12917776.00,2281.00
2014,POMFRET,1838,6154371.00,3348.00
2014,PORTLAND,4413,16414283.00,3720.00
2014,PRESTON,2085,5305969.00,2545.00
2014,PROSPECT,4446,14651421.00,3295.00
2014,PUTNAM,3953,5220775.00,1321.00
2014,REDDING,3965,35896194.00,9053.00
2014,RIDGEFIELD,10079,101548648.00,10075.00
2014,ROCKY HILL,9704,35180477.00,3625.00
2014,ROXBURY,999,7880053.00,7888.00
2014,SALEM,1891,7727025.00,4086.00
2014,SALISBURY,1646,6929884.00,4210.00
2014,SCOTLAND,346,754674.00,2181.00
2014,SEYMOUR,7706,20762505.00,2694.00
2014,SHARON,1029,8724221.00,8478.00
2014,SHELTON,18890,65291424.00,3456.00
2014,SHERMAN,1628,6752179.00,4148.00
2014,SIMSBURY,10515,79850485.00,7594.00
2014,SOMERS,4351,16916613.00,3888.00
2014,SOUTHBURY ,8952,39022616.00,4359.00
2014,SOUTHINGTON ,20119,70228155.00,3491.00
2014,SOUTH WINDSOR ,12076,52552627.00,4352.00
2014,SPRAGUE,1442,2892419.00,2006.00
2014,STAFFORD,5455,11931784.00,2187.00
2014,STAMFORD,59719,308365619.00,5164.00
2014,STERLING,1406,2348555.00,1670.00
2014,STONINGTON,12428,49770731.00,4005.00
2014,STRATFORD,24512,59806234.00,2440.00
2014,SUFFIELD,6159,28120014.00,4566.00
2014,THOMASTON,3619,8862242.00,2449.00
2014,THOMPSON,4142,5113974.00,1235.00
2014,TOLLAND,6579,30769410.00,4677.00
2014,TORRINGTON,15895,28879823.00,1817.00
2014,TRUMBULL,15659,77571991.00,4954.00
2014,UNION,287,951185.00,3314.00
2014,VERNON,14244,34203421.00,2401.00
2014,VOLUNTOWN,1157,2405339.00,2079.00
2014,WALLINGFORD,21445,66993438.00,3124.00
2014,WARREN,400,1699060.00,4248.00
2014,WASHINGTON,1785,14006976.00,7847.00
2014,WATERBURY,45278,51242874.00,1132.00
2014,WATERFORD,9460,30362416.00,3210.00
2014,WATERTOWN,10311,30829969.00,2990.00
2014,WESTBROOK ,3217,11927579.00,3708.00
2014,WEST HARTFORD ,28107,164424754.00,5850.00
2014,WEST HAVEN ,23954,39297710.00,1641.00
2014,WESTON,4072,61810992.00,15180.00
2014,WESTPORT,11477,216319916.00,18848.00
2014,WETHERSFIELD,12947,44021645.00,3400.00
2014,WILLINGTON,2662,7961201.00,2991.00
2014,WILTON,7440,103618053.00,13927.00
